time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1679559024.05697966,0.03412158,0.00838336,0.00000354,19112.00000000,0.03875469,0.000000,0.000000
1679559024.15762424,0.03462915,0.00870432,0.00000428,19261.00000000,0.04528813,0.000000,0.000000
1679559024.25746584,0.03456861,0.00779428,0.00000302,19486.00000000,0.03323676,0.000000,0.000000
1679559024.35730982,0.03438012,0.00716725,0.00000264,19670.00000000,0.03004475,0.000000,0.000000
1679559024.45714164,0.03494286,0.00900304,0.00000492,19715.00000000,0.04844872,0.000000,0.000000
1679559024.55697703,0.03472721,0.00695521,0.00000264,19723.00000000,0.02933605,0.000000,0.000000
1679559024.65760541,0.03521911,0.00921815,0.00000474,19682.00000000,0.04800846,0.000000,0.000000
1679559024.75746036,0.03508593,0.00793382,0.00000276,19783.00000000,0.03148990,0.000000,0.000000
1679559024.85729384,0.03550076,0.00866752,0.00000471,19777.00000000,0.04711624,0.000000,0.000000
1679559024.95713830,0.03539447,0.00707149,0.00000280,19807.00000000,0.03231192,0.000000,0.000000
1679559025.05696583,0.03554346,0.00871931,0.00000375,19999.00000000,0.04001317,0.000000,0.000000
1679559025.15760350,0.03580280,0.00828256,0.00000424,20128.00000000,0.04384236,0.000000,0.000000
1679559025.25745893,0.03568961,0.00787100,0.00000291,20229.00000000,0.03206762,0.000000,0.000000
1679559025.35730839,0.03593266,0.00825278,0.00000423,20449.00000000,0.04395326,0.000000,0.000000
1679559025.45713806,0.03574960,0.00676185,0.00000266,20565.00000000,0.02952540,0.000000,0.000000
1679559025.55696106,0.03608404,0.00858114,0.00000468,20647.00000000,0.04778963,0.000000,0.000000
1679559025.65760827,0.03602882,0.00754934,0.00000315,20716.00000000,0.03404094,0.000000,0.000000
1679559025.75744748,0.03613627,0.00765667,0.00000385,20757.00000000,0.04011160,0.000000,0.000000
1679559025.85728240,0.03613966,0.00757029,0.00000344,20858.00000000,0.03626885,0.000000,0.000000
1679559025.95711827,0.03624796,0.00843755,0.00000381,20994.00000000,0.04047156,0.000000,0.000000
1679559026.05695701,0.03721619,0.00797467,0.00000402,21021.00000000,0.07594543,0.000000,0.000000
1679559026.15760875,0.03716862,0.00778557,0.00000322,21024.00000000,0.03521792,0.000000,0.000000
1679559026.25746369,0.03709686,0.00834718,0.00000296,21169.00000000,0.03408312,0.000000,0.000000
1679559026.35730195,0.03710213,0.00861670,0.00000326,21325.00000000,0.03732855,0.000000,0.000000
1679559026.45714903,0.03704659,0.00820989,0.00000314,21223.00000000,0.03460319,0.000000,0.000000
1679559026.55697799,0.03693692,0.00738742,0.00000282,21262.00000000,0.03200164,0.000000,0.000000
1679559026.65761018,0.03683078,0.00777283,0.00000284,21079.00000000,0.03194825,0.000000,0.000000
1679559026.75745296,0.03672427,0.00785785,0.00000277,21153.00000000,0.03171846,0.000000,0.000000
1679559026.85729051,0.03664736,0.00750044,0.00000299,21198.00000000,0.03295576,0.000000,0.000000
1679559026.95712566,0.03649251,0.00658618,0.00000259,21303.00000000,0.02890490,0.000000,0.000000
1679559027.05695128,0.03658716,0.00759948,0.00000408,21236.00000000,0.04131951,0.000000,0.000000
1679559027.15759301,0.03656628,0.00687611,0.00000337,21217.00000000,0.03550119,0.000000,0.000000
1679559027.25742555,0.03646496,0.00689048,0.00000291,21331.00000000,0.03119659,0.000000,0.000000
1679559027.35726881,0.03635624,0.00701221,0.00000285,21386.00000000,0.03059379,0.000000,0.000000
1679559027.45710945,0.03634329,0.00731026,0.00000341,21448.00000000,0.03564389,0.000000,0.000000
1679559027.55693555,0.03641014,0.00756278,0.00000393,21490.00000000,0.04008715,0.000000,0.000000
1679559027.65758038,0.03639401,0.00734638,0.00000348,21477.00000000,0.03549097,0.000000,0.000000
1679559027.75743914,0.03647797,0.00785932,0.00000419,21583.00000000,0.04126328,0.000000,0.000000
1679559027.85726476,0.03646468,0.00805324,0.00000333,21697.00000000,0.03569375,0.000000,0.000000
1679559027.95710301,0.03662964,0.00887424,0.00000474,21805.00000000,0.04636245,0.000000,0.000000
1679559028.05693626,0.03651768,0.00644897,0.00000257,21826.00000000,0.02980013,0.000000,0.000000
1679559028.15757179,0.03682218,0.00826374,0.00000486,21943.00000000,0.05539675,0.000000,0.000000
1679559028.25740743,0.03675251,0.00756458,0.00000272,22026.00000000,0.03243290,0.000000,0.000000
1679559028.35725188,0.03682768,0.00963985,0.00000299,22300.00000000,0.04156333,0.000000,0.000000
1679559028.45709133,0.03691849,0.01100968,0.00000302,22488.00000000,0.04273059,0.000000,0.000000
1679559028.55733109,0.03721658,0.01153323,0.00000293,22960.00000000,0.05659210,0.000000,0.000000
1679559028.65717936,0.03735291,0.01210667,0.00000302,23597.00000000,0.04635057,0.000000,0.000000
1679559028.75701928,0.03749034,0.01117963,0.00000287,24174.00000000,0.04669880,0.000000,0.000000
1679559028.85764742,0.03758728,0.01191018,0.00000295,25001.00000000,0.04417904,0.000000,0.000000
1679559028.95749760,0.03770176,0.01110499,0.00000305,25435.00000000,0.04560062,0.000000,0.000000
1679559029.05733514,0.03782766,0.01099132,0.00000301,25657.00000000,0.04664046,0.000000,0.000000
1679559029.15715432,0.03791184,0.01076197,0.00000289,26030.00000000,0.04388916,0.000000,0.000000
1679559029.25698471,0.03805374,0.01044671,0.00000312,25781.00000000,0.04827009,0.000000,0.000000
1679559029.35762477,0.03838485,0.01267033,0.00000328,26283.00000000,0.06255630,0.000000,0.000000
1679559029.45745492,0.03848568,0.01116131,0.00000310,27001.00000000,0.04594715,0.000000,0.000000
1679559029.55729651,0.03855645,0.01213700,0.00000294,27365.00000000,0.04386400,0.000000,0.000000
1679559029.65712309,0.03919372,0.02105115,0.00000362,27914.00000000,0.08762631,0.000000,0.000000
1679559029.75696254,0.03944357,0.01699626,0.00000314,28399.00000000,0.05868164,0.000000,0.000000
